handle,wallet,chain,source
bauswhale,0x27d6a5a1d9a5e89bfce0239f08d9c95cf2256ebb,Robinhood,hodlers+amount+rpc
vascodicaprio,0xe3f2fc68992d6a80953fa84f6fe7ee9747e20e2e,Robinhood,hodlers+amount+rpc
monkotbe,0x03ce8ddef358c89311301181e2c208054776c566,Robinhood,hodlers+amount+rpc
cryptozod12,0x798d09bd6ca5e69dfde117536e39cd011eeca725,Robinhood,hodlers+amount+rpc
cfa_,0x4ffcf07045714ea6ffa96f14204bef20da955543,Robinhood,hodlers+amount+rpc
challengeaccount,0x7cd16833853038a4f2c459f18bf4ef5fd647a803,Robinhood,hodlers+amount+rpc
ebaniludik,0x5a5dcbd14a87fa83c384d7b474141ed8793fda37,Robinhood,hodlers+amount+rpc
gugiopolis,0xea25a54194a0929afbe26c48568bcb4f2b94e6db,Robinhood,hodlers+amount+rpc
bfresh,0x933506eed83069ce19ea692bf2621870459b98e7,Robinhood,hodlers+amount+rpc
afroscumbag,0x4d757d4e27db376c1f7d5ecfd6468d32cae65961,Robinhood,hodlers+amount+rpc
thevillii,0x1b714b2af0bfb178642b3b2d606a9e85a26a02ba,Robinhood,hodlers+amount+rpc
malikonchain,0x1151485d1f38307af94f2663b02b59b64a55a288,Robinhood,hodlers+amount+rpc
awwsum,0xcf0ef607d184b33033c47aa2aa321093d603d2ff,Robinhood,hodlers+amount+rpc
jakubsedlak19,0x51528304f85bd994900bb440196e24e7af732096,Robinhood,hodlers+amount+rpc
johnnydwayne,0x8996ed5ddf46eebfab523c746b6a290efe20f117,Robinhood,hodlers+amount+rpc
bthebezel,0x15c6a76136b597c7896dca6da7b3319daffc987e,Robinhood,hodlers+amount+rpc
pooalcindor,0xf07cc545377e27c40f50412ba99923a2e6713c00,Robinhood,hodlers+amount+rpc
badtrading,0x46714160cc260ea81e8fc78d5555c9a3d27f02d6,Robinhood,hodlers+amount+rpc
skullnick3,0x95b0746316368ca24e5a58da7fe961d791cb6829,Robinhood,hodlers+amount+rpc
jordan009,0xbc6e839d1c06e30cd95e022810c6b09de0e917a7,Robinhood,hodlers+amount+rpc
mozart,0xbe80765a4983e283fee923a6b823ff09a6299254,BSC,hodlers+amount+rpc
nobrainflip,0x0aa87728a6677730771de65bfedb16e93e86a525,BSC,hodlers+amount+rpc
tizzwhisperer,0x730d88a10ba0eebbb8b1eebba3a43944d7699775,Robinhood,hodlers+amount+rpc
goodfirmbird,0x4f777907938674f564627585439aeded1920b24a,Robinhood,hodlers+amount+rpc
topj33t,0x54767ced172a844426ffd5c3e4bfa3cee2ffb687,Robinhood,hodlers+amount+rpc
rickyrich420,0x08314cff2575768420db26851234444cd97c6f9d,Robinhood,hodlers+amount+rpc
slurptoshi_,0x1b62b929f1db8ded08a3e1b95c75972bf5bc3553,Robinhood,hodlers+amount+rpc
ksj_,0xaac553dad379ebc38272d3c36d657f899fbe0680,Robinhood,hodlers+amount+rpc
cryptodjip,0x276ce5235e6bfe810b5426d47cfe02fbd6d8000f,Robinhood,hodlers+amount+rpc
man_donut_,0x0c99772d1b0310ab485b943433067836cdbf7355,Robinhood,hodlers+amount+rpc
lingardsol,0xb3f815dac319bd560e535f6788f0d9ed9c73eb3e,BSC,hodlers+amount+rpc
kkisgreat,0x771c6ca8426291d54bd13043d654cdbf09087006,BSC,hodlers+amount+rpc
horseimnot,0x9962f2c7cf92d940582994c6db13e3c2e3150179,BSC,hodlers+amount+rpc
s226,0x56647f61fd15a8eb8c2c5638a165e40f278dedf9,BSC,hodlers+amount+rpc
jiliman,0xb00ad3a91a5f3425fbc409d2565c608efa35e359,BSC,hodlers+amount+rpc
tungtungtungsahur67,0x33163d7eb4f876e224175137aab7258fd458d1e0,BSC,hodlers+amount+rpc
super526,0x3e6b07c229a77e4e3d4e41a989e8396af88b6b76,BSC,hodlers+amount+rpc
northking,0x22268b9f4107a3e96a8d6577ffa199d858ca339e,BSC,hodlers+amount+rpc
paipai,0x0bf044bb008d1ed8ac253eca11795a9fa2e945ae,BSC,hodlers+amount+rpc
panceramic,0x9cf687eaca65e5da625d3fde534a73513b0a959f,BSC,hodlers+amount+rpc
bmooon97_,0xf88dd7c7cb0baf2f15d189f04c08b5e1c68798b4,BSC,hodlers+amount+rpc
elsalilipaly98,0x10283b8b891629942a7c23ce0bc76d604676d86a,BSC,hodlers+amount+rpc
wokky_,0x0af5ca647e9fe36fccd447c8dc20467f5e274039,Robinhood,hodlers+amount+rpc
jahrools,0x80fd57a9464c9a50713b133b731ed1024b22156d,Robinhood,hodlers+amount+rpc
dopaminefeenfr,0xbdce13a1cadea23a61013fbfb470c7eef4ba9520,BSC,hodlers+amount+rpc
pipi,0xc882a54fbdd8837604b633a85ef82882634a122a,BSC,hodlers+amount+rpc
halilbasly,0x2b705ee84ee50482e116a31dfcf0dff9f251bcf1,BSC,hodlers+amount+rpc
jamesontanner,0x00c7da285e070555318aeb7e21fd899cef574924,BSC,hodlers+amount+rpc
zack777,0xcced7890210bee8082c11c1eeaf7b1959e6c0f63,BSC,hodlers+amount+rpc
lucadrazen,0xebc9855f777e2f3adf25ed0584b2e7025cfce5f9,BSC,hodlers+amount+rpc
user672,0x156d7df5cf587b8649c58bfdfb7edcc561d12995,BSC,hodlers+amount+rpc
d_17,0xd46fc89efe2c585b6d051177322d56754e830702,BSC,hodlers+amount+rpc
hennessenn,0x8aeabb2b4dff88dcae2c4a83024e6bf9834bf7dc,BSC,hodlers+amount+rpc
omartrades21,0xfb3750e2938638bca5117cd10471174b5809f75c,BSC,hodlers+amount+rpc
libkwogs,0x06ba7578cad7d003e961e1e8307fe6738cc4918f,BSC,hodlers+amount+rpc
badbradgolf,0xb902b411333ce3a89c9dd0e608b8c47fd249e826,BSC,hodlers+amount+rpc
fieldcoinfdc,0x565d785204197a69718da89abbfe3e4e3ef15c68,BSC,hodlers+amount+rpc
softmereelk,0x455ef47a4dd4e682b08d28bd28fdf68f1de38b81,BSC,hodlers+amount+rpc
moemoee0,0x12f4cd76cce3f2321bd64a15fd01c523fd9ac8b5,BSC,hodlers+amount+rpc
serna_sloan,0xb42ac9538b3fb1df5a5b3b3f798e6a1204445bee,BSC,hodlers+amount+rpc
amoxxx,0x3476204fc9a1fbe1aebf8b2ca94f9dd909c03504,BSC,hodlers+amount+rpc
notopenfalla,0x36d6ee0936b0d99a4f1e70ad44f50f7d2e0d4a3e,BSC,hodlers+amount+rpc
maxgamboa92,0x8420ee55f9064b9654aae432f6c75e3cde4cce33,BSC,hodlers+amount+rpc
doofygilmore,0x24b79104a13d991b6de4d8dee95a62473ca19a55,BSC,hodlers+amount+rpc
joyous,0x68ae3e6b40ddf23a09dc95276932fb3551e68c7f,BSC,hodlers+amount+rpc
yepp,0x1735227e135da9eff61deb4f3858de0e077b1f9d,BSC,hodlers+amount+rpc
chunks02,0xaece9048e50120727b7c3fcb585d04bee7a936aa,BSC,hodlers+amount+rpc
jgrosario8700,0x83a6c3fa8341d4497bbc46b3f297e25d1bcfbcf9,BSC,hodlers+amount+rpc
okayoliveant,0x31901688da855cb5a58ee9b08dc780bb68b2075c,BSC,hodlers+amount+rpc
shyhappysquid,0xf63f7a10a56f49081832f87cb21839372d4f92e4,BSC,hodlers+amount+rpc
bakihanma,0xce23af46c4a4c5239421a08d4994d600eb4077d8,BSC,hodlers+amount+rpc
elgwapo1,0x197ce8238cb719ab0b3e5210ab6b8e7d8f3d1c1a,BSC,hodlers+amount+rpc
daddy456,0x2e9a231164297fad7e3991b19fc9ea338c5ee889,BSC,hodlers+amount+rpc
maximus0147,0xa68977b9cb553b25756c9a62d41a2656b61d0593,BSC,hodlers+amount+rpc
dolesgems,0x9d16f2f3f29ccf92e6a557d7fbf07d3c3e949882,BSC,hodlers+amount+rpc
rrrrrr666666,0xc26b7f93eb9324584466e00ca44da95e4ab28e47,BSC,hodlers+amount+rpc
shawnthread,0xc94ab658890ac35dbf3004177a3b81afca13da6c,BSC,hodlers+amount+rpc
flowwater001,0x41bff9a7175653e2ab802beec42c81e65429025f,BSC,hodlers+amount+rpc
roaringkittyy,0xc41ff324a9e61417833041c2ccb508683a079bb1,BSC,hodlers+amount+rpc
gimmedatmonion,0xe7ce12fe855e8e779c8d4822e81bc6d84746b224,BSC,hodlers+amount+rpc
d363n6uy,0xa326cee75116cc8e1fe3b4bb02ebff16c25d042f,BSC,hodlers+amount+rpc
0xmmu,0xc9ecc5d3679dcbfe4f00fb96dc33ea5352d90b64,BSC,hodlers+amount+rpc
zippyrainymacaw,0x9cba97294cc816c9aeed3747eba5fef09206b270,BSC,hodlers+amount+rpc
sveatoslav,0xca3a1b2a77e716f04173fc172bef47ab4a6003e2,BSC,hodlers+amount+rpc
slmoy,0xf1692abe377b4fdc780d97df8c5f5dfbaea2c7bf,BSC,hodlers+amount+rpc
wilsonng2019,0x1074f4df0e85dc75d078c007ed620e3f3a79f292,BSC,hodlers+amount+rpc
ivvan,0x72c17dba5161b5b20381aaf1e031e139845ce855,BSC,hodlers+amount+rpc
tiliskitip,0xdef3e9a72314a12708721b4e7552d1b30010b02e,Robinhood,hodlers+amount+rpc
