handle,created_at,swap_count,num_trades,cached_sol,published_sol,sol_verdict,cached_evm,published_evm,evm_verdict,confirmed,wallet_source,evm_source,error
konito,2026-04-22T23:01:25.752Z,332,438,93fjdwW7S3Aw4TkrnMzy51sZ5pP4ArpvtmFYujNyDVgH,DGzQ31Tsg5a4Kgqi5AWTCpTfFxsQjBdevmSPNbGzsXc5,differ,0x27394168fdcfe5ea4e2042df3949a619238f3627,0x00f38dd98759873706d4d8bf2753b050b4cd5c00,differ,5,,,
onmycheck,2026-04-14T02:27:29.278Z,1279,1028,Ay77dkJkbjPCLbhHmwNg5z4WVtP2bMUpjKNnWFo1CuD2,Cy8zbavbfJZLbWEXkbS87nnFf6ZHqAKQrSsnpYgqjczN,differ,0xb6e00eaea52e9a91e0a9af67301fa1bc6d02e7ac,0x81fc8fdbd742e5dfbf042bf1fbbaa30837f8cfc3,differ,5,,manual+rpc,
rowdy,2025-04-22T00:04:56.298Z,609,309,CzU8MaRcwvwUoNkwJFLbvtFWJugcEXAhDDQqNFE4ybb7,6Y3j1cMgTtUpWSyvhA3fa79EZz91JiZd8YG7QDj9VDYA,differ,0x03ba951f72e59899ac8dab30cb5624dbe5d52bb8,0x8a74e5f032469efe426ce4b77abc60662b9c7d36,differ,2,fomo-blocks,transactions+rpc,
collectible,2025-10-25T03:07:46.258Z,4367,1447,F2hA2zDVnHyDUiMQ6b3K9Gx9A2JAxJn66ASH9xZ9LqbG,3YECsvhnPBRJtWcPZgTQkczufpXdcAuHgZEDmH8vyRyS,differ,0xfa2b3e71486f75b6b31aa17dbd5e687f253e3111,0x8bd37ef6930d561a70edde42751083ddee3e8f47,differ,5,,legacy+rpc,
runecrypto_,2025-10-24T22:48:41.476Z,1744,809,,HWB3MMDgqwuykPLBwFitgAgpBHRf8Qr9xvsAHSNiypd8,no-cached,0x180906a0ef400e4747eac35d4e02ffa18979e328,0xb977b8ae909fde6de4d3ce0465b27835ce4e4e7d,differ,0,,,
dipwheeler,2025-11-24T23:56:10.944Z,992,641,,HYmWmpbJbjzsSGu19qBKBjBaXrSrFiGzX3EFtaoPos9F,no-cached,0x28a92ff139536c780b3d8b172e68bd2d32a666a6,0xe40101597f4a03ebdca38f7a08eefd1dc941d058,differ,1,,legacy+rpc,
zenza,2025-10-27T13:01:01.273Z,36,12,Ds14hiRypY3qqoQcWnjmHpKdcgqJ7omWktKK5TxkofKC,Ds14hiRypY3qqoQcWnjmHpKdcgqJ7omWktKK5TxkofKC,MATCH,,0x7a9c9fa0dd1e6c804acf2cfb069d8b4ca4d56b86,no-cached,2,,,
trader,2026-08-12T17:31:39.398Z,1,11,4LWXdfSb13EemLs9DqEUcPFs9LM8xvMNwxWibyt57tw5,HCQCGCMSc5B7JYd6gJwJ3FjhdgdXUMqF5C5gnqNneDFf,differ,0x6549e03652de4ee63eefdd0553eff608497daee8,0x30e03b4d3fa1243d74f67a498f7ee797474ca04b,differ,2,,legacy+rpc,
profitmaxxing,2025-04-27T23:00:17.591Z,545,247,zMAwm917LbJofdmGT3szxtGnj3bZCB6eGRR8kEtrf6v,AXDRSS969W6UkFpiEsrVxf2jjMGEfQYPC8pfTAeeVjSK,differ,,0x096ea870e37199f3e1eb176398b4592b24fd458a,no-cached,2,,,
salem1299534,2026-03-18T08:14:07.169Z,624,234,2yXwy5Dsa1XtEXcsrkFVRJeyuWD3qKkMN3pP3p5VTW3V,CDY1JBoi2fKPPsHabyANmp6RP9Lkz8TcrkACsX3rHkka,differ,0xb8f305f27ccc406373de0082cc06cb1d065504ea,0xa14b38a3dfd05c089bae5d60e9d42af3924e5da0,differ,2,,hodlers+amount+rpc,
